epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,14503.5,1.37057,1.34009,1.69071,0.79174,0.70317,0.78446,0.4759,1.44747,1.1666,1.74747,0.00028363,0.00028363,0.00028363
131,14615.9,1.35334,1.32367,1.69469,0.79047,0.70764,0.78597,0.47512,1.44674,1.1573,1.74735,0.00027664,0.00027664,0.00027664
132,14726.9,1.35612,1.33196,1.68886,0.80241,0.69901,0.78667,0.47811,1.44647,1.14528,1.74396,0.000269705,0.000269705,0.000269705
133,14838.1,1.34927,1.32334,1.68904,0.79634,0.70716,0.78711,0.4795,1.44461,1.13986,1.74149,0.000262828,0.000262828,0.000262828
134,14950.3,1.34726,1.31691,1.68398,0.79863,0.70985,0.7901,0.48034,1.44167,1.14126,1.73521,0.000256009,0.000256009,0.000256009
135,15061.2,1.3462,1.31353,1.67782,0.80051,0.70624,0.78873,0.48023,1.44139,1.14895,1.73603,0.000249252,0.000249252,0.000249252
136,15172.2,1.33717,1.31033,1.67901,0.80268,0.71067,0.79043,0.47982,1.44536,1.17098,1.73897,0.000242557,0.000242557,0.000242557
137,15284.1,1.34428,1.32358,1.67714,0.80088,0.71547,0.7907,0.48006,1.44251,1.16098,1.73618,0.000235926,0.000235926,0.000235926
138,15395.7,1.3334,1.29865,1.6723,0.80532,0.71358,0.79281,0.48111,1.43664,1.16753,1.73178,0.000229361,0.000229361,0.000229361
139,15506.4,1.33408,1.29557,1.67045,0.80449,0.70837,0.79222,0.48225,1.43944,1.14539,1.73197,0.000222864,0.000222864,0.000222864
140,15618.2,1.34208,1.29861,1.67873,0.80494,0.70924,0.79106,0.47923,1.44538,1.12605,1.73427,0.000216435,0.000216435,0.000216435
141,15729.9,1.33724,1.28812,1.6658,0.80121,0.71306,0.79494,0.48295,1.43819,1.1299,1.72839,0.000210077,0.000210077,0.000210077
142,15840.6,1.34236,1.3065,1.67319,0.80913,0.70976,0.79493,0.48348,1.43937,1.14331,1.73047,0.000203791,0.000203791,0.000203791
143,15952,1.33422,1.28576,1.66362,0.8171,0.70772,0.79425,0.48245,1.44031,1.12915,1.73458,0.000197579,0.000197579,0.000197579
144,16064,1.33643,1.27629,1.66608,0.80528,0.71189,0.79347,0.48191,1.43597,1.13295,1.72979,0.000191442,0.000191442,0.000191442
145,16174.9,1.32988,1.27202,1.65822,0.80278,0.70786,0.79184,0.48125,1.43742,1.13514,1.72692,0.000185382,0.000185382,0.000185382
146,16285.7,1.32806,1.27758,1.66092,0.80724,0.70785,0.79065,0.48095,1.44149,1.13598,1.73112,0.0001794,0.0001794,0.0001794
147,16397.6,1.32591,1.26138,1.65461,0.81388,0.70114,0.79104,0.48103,1.44134,1.15424,1.73219,0.000173497,0.000173497,0.000173497
148,16508.5,1.33277,1.29756,1.66803,0.81402,0.70461,0.79354,0.4825,1.44187,1.13968,1.73634,0.000167676,0.000167676,0.000167676
149,16619.4,1.32017,1.27082,1.66449,0.8208,0.69857,0.79595,0.48356,1.44146,1.14044,1.73575,0.000161938,0.000161938,0.000161938
150,16731.3,1.32757,1.26398,1.64989,0.81634,0.70572,0.79776,0.48518,1.4366,1.15587,1.72971,0.000156283,0.000156283,0.000156283
151,16842.6,1.32987,1.27807,1.66742,0.81929,0.70728,0.79738,0.48495,1.43533,1.16037,1.728,0.000150714,0.000150714,0.000150714
152,16953.8,1.32428,1.27094,1.6604,0.8134,0.70878,0.79683,0.48545,1.43281,1.16025,1.72603,0.000145232,0.000145232,0.000145232
153,17065.7,1.3296,1.28579,1.65948,0.80807,0.71069,0.79703,0.48624,1.43251,1.13944,1.73067,0.000139838,0.000139838,0.000139838
